"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","5000150000","Retail sales of perishable prepared foods","445310","Beer, wine, and liquor stores","All establishments","2,808","190,818","0.2","30% to less than 40%","9.4"
"United States","2017","5000150000","Retail sales of perishable prepared foods","446110","Pharmacies and drug stores","All establishments","D","D","D","D","D"
"United States","2017","5000150000","Retail sales of perishable prepared foods","446191","Food (health) supplement stores","All establishments","464","22,514","0.0","40% to less than 50%","16.6"
"United States","2017","5000150000","Retail sales of perishable prepared foods","447110","Gasoline stations with convenience stores","All establishments","3,570","372,157","0.5","70% to less than 80%","17.3"
"United States","2017","5000150000","Retail sales of perishable prepared foods","447190","Other gasoline stations","All establishments","S","A","S","S","S"
"United States","2017","5000150000","Retail sales of perishable prepared foods","452210","Department stores","All establishments","15","963","0.0","20% to less than 30%","23.8"
"United States","2017","5000150000","Retail sales of perishable prepared foods","452311","Warehouse clubs and supercenters","All establishments","7,179","14,799,610","18.5","Less than 10%","0.1"
"United States","2017","5000150000","Retail sales of perishable prepared foods","452319","All other general merchandise stores","All establishments","31,111","2,163,978","2.7","50% to less than 60%","1.0"
"United States","2017","5000150000","Retail sales of perishable prepared foods","453220","Gift, novelty, and souvenir stores","All establishments","107","1,551 (s)","0.0","60% to less than 70%","48.3"
"United States","2017","5000150000","Retail sales of perishable prepared foods","453991","Tobacco stores","All establishments","504","10,973","0.0","30% to less than 40%","12.9"
"United States","2017","5000150000","Retail sales of perishable prepared foods","454110","Electronic shopping and mail-order houses","All establishments","56","65,135","0.1","Less than 10%","13.8"
"United States","2017","5000150000","Retail sales of perishable prepared foods","454210","Vending machine operators","All establishments","1,289","990,654","1.2","40% to less than 50%","6.8"
"United States","2017","5000150000","Retail sales of perishable prepared foods","454390","Other direct selling establishments","All establishments","784","209,076","0.3","50% to less than 60%","23.8"
"United States","2017","5000175000","Retail sales of frozen foods","445110","Supermarkets and other grocery (except convenience) stores","All establishments","58,997","38,064,097","58.7","50% to less than 60%","0.9"
"United States","2017","5000175000","Retail sales of frozen foods","445120","Convenience stores","All establishments","22,538","933,767","1.4","80% to less than 90%","3.6"
"United States","2017","5000175000","Retail sales of frozen foods","445210","Meat markets","All establishments","1,630","147,573","0.2","50% to less than 60%","17.5"
"United States","2017","5000175000","Retail sales of frozen foods","445220","Fish and seafood markets","All establishments","485","64,063","0.1","50% to less than 60%","12.9"
"United States","2017","5000175000","Retail sales of frozen foods","445230","Fruit and vegetable markets","All establishments","718","59,553","0.1","40% to less than 50%","28.6"
"United States","2017","5000175000","Retail sales of frozen foods","445291","Baked goods stores","All establishments","98","2,238 (s)","0.0","70% to less than 80%","54.0"
"United States","2017","5000175000","Retail sales of frozen foods","445292","Confectionery and nut stores","All establishments","354","30,824","0.0","50% to less than 60%","22.8"
"United States","2017","5000175000","Retail sales of frozen foods","445299","All other specialty food stores","All establishments","659","65,346","0.1","70% to less than 80%","28.8"
"United States","2017","5000175000","Retail sales of frozen foods","445310","Beer, wine, and liquor stores","All establishments","4,494","111,220","0.2","40% to less than 50%","9.1"
"United States","2017","5000175000","Retail sales of frozen foods","446110","Pharmacies and drug stores","All establishments","22,323","766,895","1.2","40% to less than 50%","1.5"
"United States","2017","5000175000","Retail sales of frozen foods","446191","Food (health) supplement stores","All establishments","1,300","33,734","0.1","30% to less than 40%","9.0"
"United States","2017","5000175000","Retail sales of frozen foods","447110","Gasoline stations with convenience stores","All establishments","41,634","862,988","1.3","50% to less than 60%","9.1"
"United States","2017","5000175000","Retail sales of frozen foods","447190","Other gasoline stations","All establishments","1,483","35,543","0.1","10% to less than 20%","8.6"
"United States","2017","5000175000","Retail sales of frozen foods","452311","Warehouse clubs and supercenters","All establishments","5,556","19,378,880","29.9","Less than 10%","0.1"
"United States","2017","5000175000","Retail sales of frozen foods","452319","All other general merchandise stores","All establishments","33,705","1,141,110","1.8","40% to less than 50%","1.2"
"United States","2017","5000175000","Retail sales of frozen foods","453210","Office supplies and stationery stores","All establishments","63","734","0.0","80% to less than 90%","39.7"
"United States","2017","5000175000","Retail sales of frozen foods","453220","Gift, novelty, and souvenir stores","All establishments","20","45 (s)","0.0","20% to less than 30%","43.7"
"United States","2017","5000175000","Retail sales of frozen foods","453991","Tobacco stores","All establishments","1,145","15,051","0.0","20% to less than 30%","6.4"
"United States","2017","5000175000","Retail sales of frozen foods","454110","Electronic shopping and mail-order houses","All establishments","237","1,510,646 (s)","2.3","50% to less than 60%","60.3"
"United States","2017","5000175000","Retail sales of frozen foods","454210","Vending machine operators","All establishments","933","77,503","0.1","50% to less than 60%","35.4"
"United States","2017","5000175000","Retail sales of frozen foods","454310","Fuel dealers","All establishments","S","A","S","S","S"
"United States","2017","5000175000","Retail sales of frozen foods","454390","Other direct selling establishments","All establishments","1,524","1,330,272","2.1","40% to less than 50%","6.9"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","441310","Automotive parts and accessories stores","All establishments","294","1,353","0.0","50% to less than 60%","26.0"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","441320","Tire dealers","All establishments","15","88 (s)","0.0","10% to less than 20%","72.2"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","442110","Furniture stores","All establishments","19","83 (s)","0.0","60% to less than 70%","88.6"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","442299","All other home furnishings stores","All establishments","256","1,790 (s)","0.0","60% to less than 70%","57.5"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","443141","Household appliance stores","All establishments","D","D","D","D","D"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","443142","Electronics stores","All establishments","5","59 (s)","0.0","70% to less than 80%","66.0"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","444110","Home centers","All establishments","4,846","238,026","0.2","10% to less than 20%","0.9"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","444120","Paint and wallpaper stores","All establishments","3","19 (s)","0.0","Less than 10%","48.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","444130","Hardware stores","All establishments","6,659","77,935","0.1","50% to less than 60%","3.5"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","444190","Other building material dealers","All establishments","1,168","7,499","0.0","30% to less than 40%","8.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","444210","Outdoor power equipment stores","All establishments","S","A","S","S","S"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","444220","Nursery, garden center, and farm supply stores","All establishments","141","8,052","0.0","50% to less than 60%","18.6"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445110","Supermarkets and other grocery (except convenience) stores","All establishments","50,803","25,989,246","27.1","50% to less than 60%","1.9"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445120","Convenience stores","All establishments","25,869","2,328,568","2.4","80% to less than 90%","3.6"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445210","Meat markets","All establishments","987","9,889","0.0","40% to less than 50%","15.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445220","Fish and seafood markets","All establishments","72","648 (s)","0.0","60% to less than 70%","40.4"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445230","Fruit and vegetable markets","All establishments","816","43,942 (s)","0.0","50% to less than 60%","45.9"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445291","Baked goods stores","All establishments","218","10,995","0.0","70% to less than 80%","26.6"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445292","Confectionery and nut stores","All establishments","3,441","2,152,270","2.2","50% to less than 60%","1.7"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445299","All other specialty food stores","All establishments","1,047","69,453","0.1","60% to less than 70%","29.4"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","445310","Beer, wine, and liquor stores","All establishments","12,336","356,200","0.4","40% to less than 50%","5.0"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","446110","Pharmacies and drug stores","All establishments","10,660","1,109,703","1.2","40% to less than 50%","2.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","446120","Cosmetics, beauty supplies, and perfume stores","All establishments","151","2,135 (s)","0.0","60% to less than 70%","90.2"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","446191","Food (health) supplement stores","All establishments","1,393","29,193","0.0","30% to less than 40%","12.4"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","446199","All other health and personal care stores","All establishments","3","3 (s)","0.0","30% to less than 40%","44.3"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","447110","Gasoline stations with convenience stores","All establishments","83,849","8,985,952","9.4","40% to less than 50%","1.7"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","447190","Other gasoline stations","All establishments","3,485","3,575,406","3.7","10% to less than 20%","1.9"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","448110","Men's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","448120","Women's clothing stores","All establishments","104","499","0.0","40% to less than 50%","32.3"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","448140","Family clothing stores","All establishments","206","2,372","0.0","30% to less than 40%","32.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","448190","Other clothing stores","All establishments","41","2,686 (s)","0.0","70% to less than 80%","73.2"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","448210","Shoe stores","All establishments","D","D","D","D","D"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","451110","Sporting goods stores","All establishments","1,315","23,347","0.0","40% to less than 50%","11.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","451120","Hobby, toy, and game stores","All establishments","2,825","162,070","0.2","10% to less than 20%","2.5"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","451130","Sewing, needlework, and piece goods stores","All establishments","1,018","61,141","0.1","Less than 10%","0.4"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","451211","Book stores","All establishments","1,025","37,558","0.0","80% to less than 90%","19.6"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","451212","News dealers and newsstands","All establishments","316","12,309 (s)","0.0","70% to less than 80%","42.2"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","452210","Department stores","All establishments","2,540","177,322","0.2","30% to less than 40%","18.4"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","452311","Warehouse clubs and supercenters","All establishments","7,234","37,549,757","39.2","Less than 10%","0.1"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","452319","All other general merchandise stores","All establishments","37,978","6,059,267","6.3","40% to less than 50%","0.3"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","453110","Florists","All establishments","3,916","19,131","0.0","40% to less than 50%","6.8"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","453210","Office supplies and stationery stores","All establishments","136","803","0.0","50% to less than 60%","22.7"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","453220","Gift, novelty, and souvenir stores","All establishments","4,636","260,765","0.3","40% to less than 50%","11.6"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","453310","Used merchandise stores","All establishments","408","2,704","0.0","20% to less than 30%","13.2"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","453991","Tobacco stores","All establishments","3,775","126,556","0.1","30% to less than 40%","5.2"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","228","8,620 (s)","0.0","70% to less than 80%","52.8"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","454110","Electronic shopping and mail-order houses","All establishments","1,356","2,338,159 (s)","2.4","50% to less than 60%","51.5"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","454210","Vending machine operators","All establishments","3,397","2,153,218","2.2","50% to less than 60%","3.5"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","454310","Fuel dealers","All establishments","113","15,834","0.0","Less than 10%","15.3"
"United States","2017","5000200000","Retail sales of candy, prepackaged cookies, and snack foods","454390","Other direct selling establishments","All establishments","1,286","100,380","0.1","40% to less than 50%","22.0"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","441222","Boat dealers","All establishments","S","A","S","S","S"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","442110","Furniture stores","All establishments","10","9 (s)","0.0","60% to less than 70%","79.5"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","442299","All other home furnishings stores","All establishments","157","1,137 (s)","0.0","60% to less than 70%","51.5"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","444110","Home centers","All establishments","141","10,137 (s)","0.0","80% to less than 90%","81.3"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","444130","Hardware stores","All establishments","1,349","10,836","0.0","60% to less than 70%","21.3"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","444190","Other building material dealers","All establishments","304","1,694","0.0","20% to less than 30%","22.4"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","444220","Nursery, garden center, and farm supply stores","All establishments","D","D","D","D","D"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445110","Supermarkets and other grocery (except convenience) stores","All establishments","59,743","115,284,714","59.6","50% to less than 60%","0.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445120","Convenience stores","All establishments","22,093","1,484,332","0.8","80% to less than 90%","7.2"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445210","Meat markets","All establishments","1,572","53,554","0.0","40% to less than 50%","12.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445220","Fish and seafood markets","All establishments","220","5,677","0.0","50% to less than 60%","20.3"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445230","Fruit and vegetable markets","All establishments","1,008","128,762","0.1","30% to less than 40%","20.1"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445291","Baked goods stores","All establishments","210","6,040","0.0","80% to less than 90%","31.4"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445292","Confectionery and nut stores","All establishments","S","A","S","S","S"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445299","All other specialty food stores","All establishments","2,895","1,091,291","0.6","70% to less than 80%","8.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","445310","Beer, wine, and liquor stores","All establishments","4,962","116,866","0.1","30% to less than 40%","7.1"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","446110","Pharmacies and drug stores","All establishments","15,771","450,563","0.2","40% to less than 50%","2.1"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","446120","Cosmetics, beauty supplies, and perfume stores","All establishments","S","A","S","S","S"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","446191","Food (health) supplement stores","All establishments","1,402","113,616","0.1","30% to less than 40%","10.1"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","447110","Gasoline stations with convenience stores","All establishments","57,291","3,894,085","2.0","40% to less than 50%","2.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","447190","Other gasoline stations","All establishments","1,839","211,092","0.1","20% to less than 30%","4.7"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","448110","Men's clothing stores","All establishments","18","104 (s)","0.0","50% to less than 60%","79.9"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","448120","Women's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","448140","Family clothing stores","All establishments","129","15,417 (s)","0.0","90% to 100%","92.4"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","448190","Other clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","448210","Shoe stores","All establishments","5","960","0.0","20% to less than 30%","26.9"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","451110","Sporting goods stores","All establishments","1,058","42,476","0.0","60% to less than 70%","32.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","451120","Hobby, toy, and game stores","All establishments","48","2,639","0.0","10% to less than 20%","30.2"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","451211","Book stores","All establishments","80","1,742 (s)","0.0","80% to less than 90%","64.2"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","451212","News dealers and newsstands","All establishments","50","546 (s)","0.0","70% to less than 80%","65.1"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","452311","Warehouse clubs and supercenters","All establishments","6,791","39,044,611","20.2","20% to less than 30%","0.6"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","452319","All other general merchandise stores","All establishments","35,708","4,393,756","2.3","40% to less than 50%","0.7"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","453110","Florists","All establishments","609","1,929","0.0","50% to less than 60%","14.7"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","453210","Office supplies and stationery stores","All establishments","D","D","D","D","D"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","453220","Gift, novelty, and souvenir stores","All establishments","D","D","D","D","D"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","453310","Used merchandise stores","All establishments","136","1,180","0.0","50% to less than 60%","38.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","453991","Tobacco stores","All establishments","1,568","37,438","0.0","30% to less than 40%","8.4"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","72","4,796 (s)","0.0","30% to less than 40%","62.3"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","454110","Electronic shopping and mail-order houses","All establishments","1,299","25,506,940","13.2","80% to less than 90%","10.9"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","454210","Vending machine operators","All establishments","250","85,499 (s)","0.0","50% to less than 60%","51.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","454310","Fuel dealers","All establishments","74","10,119","0.0","60% to less than 70%","34.8"
"United States","2017","5000225000","Retail sales of food dry goods and other foods purchased for future consumption","454390","Other direct selling establishments","All establishments","1,273","339,065","0.2","30% to less than 40%","14.8"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","441310","Automotive parts and accessories stores","All establishments","392","1,347","0.0","50% to less than 60%","27.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","441320","Tire dealers","All establishments","14","160 (s)","0.0","Less than 10%","40.0"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","442110","Furniture stores","All establishments","S","A","S","S","S"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","442299","All other home furnishings stores","All establishments","9","29 (s)","0.0","Less than 10%","71.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","443141","Household appliance stores","All establishments","17","1,810 (s)","0.0","20% to less than 30%","83.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","443142","Electronics stores","All establishments","27","159","0.0","60% to less than 70%","1.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","444110","Home centers","All establishments","4,871","282,912","0.4","Less than 10%","0.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","444130","Hardware stores","All establishments","5,937","54,139","0.1","50% to less than 60%","4.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","444190","Other building material dealers","All establishments","D","D","D","D","D"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","444210","Outdoor power equipment stores","All establishments","6","43 (s)","0.0","Less than 10%","69.4"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","444220","Nursery, garden center, and farm supply stores","All establishments","23","852 (s)","0.0","30% to less than 40%","50.2"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445110","Supermarkets and other grocery (except convenience) stores","All establishments","54,346","22,149,070","29.9","50% to less than 60%","1.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445120","Convenience stores","All establishments","27,294","3,960,268","5.3","80% to less than 90%","1.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445210","Meat markets","All establishments","1,223","16,388","0.0","40% to less than 50%","10.2"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445220","Fish and seafood markets","All establishments","303","3,394","0.0","60% to less than 70%","22.6"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445230","Fruit and vegetable markets","All establishments","846","25,295 (s)","0.0","30% to less than 40%","41.7"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445291","Baked goods stores","All establishments","407","8,099","0.0","60% to less than 70%","31.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445292","Confectionery and nut stores","All establishments","480","14,862","0.0","40% to less than 50%","20.3"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445299","All other specialty food stores","All establishments","1,974","257,756","0.3","70% to less than 80%","20.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","445310","Beer, wine, and liquor stores","All establishments","14,857","631,136","0.9","30% to less than 40%","2.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","446110","Pharmacies and drug stores","All establishments","24,082","1,334,042","1.8","40% to less than 50%","1.0"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","446120","Cosmetics, beauty supplies, and perfume stores","All establishments","S","A","S","S","S"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","446191","Food (health) supplement stores","All establishments","D","D","D","D","D"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","446199","All other health and personal care stores","All establishments","D","D","D","D","D"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","447110","Gasoline stations with convenience stores","All establishments","89,168","16,178,744","21.8","40% to less than 50%","1.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","447190","Other gasoline stations","All establishments","3,312","690,100","0.9","10% to less than 20%","1.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","448110","Men's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","448120","Women's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","448140","Family clothing stores","All establishments","65","1,169 (s)","0.0","80% to less than 90%","53.3"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","448190","Other clothing stores","All establishments","15","616 (s)","0.0","50% to less than 60%","99.7"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","448210","Shoe stores","All establishments","3","3 (s)","0.0","60% to less than 70%","68.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","451110","Sporting goods stores","All establishments","988","9,543","0.0","40% to less than 50%","10.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","451120","Hobby, toy, and game stores","All establishments","525","5,060","0.0","30% to less than 40%","17.3"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","451130","Sewing, needlework, and piece goods stores","All establishments","28","48 (s)","0.0","50% to less than 60%","64.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","451211","Book stores","All establishments","329","2,250","0.0","70% to less than 80%","29.3"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","451212","News dealers and newsstands","All establishments","296","11,954 (s)","0.0","70% to less than 80%","46.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","452210","Department stores","All establishments","1,590","29,273","0.0","Less than 10%","0.7"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","452311","Warehouse clubs and supercenters","All establishments","7,231","16,869,370","22.8","Less than 10%","0.2"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","452319","All other general merchandise stores","All establishments","36,768","4,805,751","6.5","40% to less than 50%","0.4"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","453110","Florists","All establishments","90","547","0.0","10% to less than 20%","19.6"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","453210","Office supplies and stationery stores","All establishments","109","1,533 (s)","0.0","40% to less than 50%","45.9"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","453220","Gift, novelty, and souvenir stores","All establishments","1,455","83,769","0.1","30% to less than 40%","9.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","453310","Used merchandise stores","All establishments","352","2,466","0.0","40% to less than 50%","23.3"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","453991","Tobacco stores","All establishments","4,219","205,853","0.3","30% to less than 40%","4.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","349","2,919 (s)","0.0","40% to less than 50%","64.5"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","454110","Electronic shopping and mail-order houses","All establishments","329","406,965","0.5","60% to less than 70%","34.1"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","454210","Vending machine operators","All establishments","3,409","3,534,195","4.8","50% to less than 60%","3.6"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","454310","Fuel dealers","All establishments","120","4,188","0.0","60% to less than 70%","38.8"
"United States","2017","5000250000","Retail sales of soft drinks and nonalcoholic beverages","454390","Other direct selling establishments","All establishments","1,877","1,551,141","2.1","50% to less than 60%","18.7"
"United States","2017","5000275000","Retail sales of ice","441310","Automotive parts and accessories stores","All establishments","9","24 (s)","0.0","40% to less than 50%","79.8"
"United States","2017","5000275000","Retail sales of ice","444130","Hardware stores","All establishments","21","20 (s)","0.0","90% to 100%","94.8"
"United States","2017","5000275000","Retail sales of ice","444190","Other building material dealers","All establishments","8","10","0.0","Less than 10%","39.7"
